Snapshot from April 19, 2018
0xb131: Ⱥ1548.684534
0xf634: Ⱥ1335.843750
0x5835: Ⱥ1276.470462
0x8d55: Ⱥ1074.175627
0x1190: Ⱥ881.413330
0x3317: Ⱥ752.777577
0x97a1: Ⱥ708.093964
0x4291: Ⱥ641.266205
0x9c5d: Ⱥ610.057473
0x5bf1: Ⱥ503.008310
0xceaf: Ⱥ484.819239
0x2c08: Ⱥ456.843800
0x13ff: Ⱥ429.958695
0x5ea7: Ⱥ393.316777
0x093e: Ⱥ277.481488
0x4559: Ⱥ261.432672
0x5908: Ⱥ204.812828
0x9ade: Ⱥ170.562586
0xa59f: Ⱥ154.500000
0x496e: Ⱥ143.115075
0xfec5: Ⱥ120.093750
0xb599: Ⱥ106.725701
0x3a65: Ⱥ92.000000
0x895e: Ⱥ88.816931
0x9af4: Ⱥ88.482354
0x66d3: Ⱥ84.750076
0x1cc0: Ⱥ83.968750
0xf75c: Ⱥ83.468752
0x87ec: Ⱥ82.531250
0x489f: Ⱥ78.218750
0xc21c: Ⱥ76.062500
0xb19f: Ⱥ76.003802
0xd4f0: Ⱥ75.365264
0xf56c: Ⱥ73.468750
0xeb55: Ⱥ71.843750
0xaf91: Ⱥ71.531250
0x0424: Ⱥ68.781250
0x4271: Ⱥ68.568177
0xff77: Ⱥ66.312504
0x4ee9: Ⱥ65.187502
0x6810: Ⱥ63.282210
0x494f: Ⱥ60.174013
0x3357: Ⱥ59.023106
0x394c: Ⱥ57.571690
0x4607: Ⱥ53.300966
0x5e4a: Ⱥ48.000000
0x9fba: Ⱥ48.000000
0x6cac: Ⱥ46.781250
0x616d: Ⱥ40.624796
0x6f05: Ⱥ38.125000
0xbabe: Ⱥ37.250000
0xf5b3: Ⱥ36.738150
0xdb94: Ⱥ36.468750
0x9649: Ⱥ34.281250
0x1aa0: Ⱥ33.781252
0x5a01: Ⱥ31.750000
0xed3d: Ⱥ31.002197
0xa7cc: Ⱥ30.562500
0x06bb: Ⱥ30.062500
0x01c1: Ⱥ27.031250
0x72f7: Ⱥ26.894354
0x08d3: Ⱥ24.620780
0xf0d5: Ⱥ20.687502
0xb8e3: Ⱥ18.031250
0x81a0: Ⱥ18.000000
0xf356: Ⱥ17.125000
0x776b: Ⱥ15.031250
0xa9f8: Ⱥ15.031250
0x55cc: Ⱥ15.006384
0x8e52: Ⱥ15.000000
0x3b69: Ⱥ14.811084
0xa506: Ⱥ13.000000
0x5d50: Ⱥ11.000006
0x85f0: Ⱥ10.000000
0x48f8: Ⱥ9.110539
0xe9fa: Ⱥ8.559420
0xacd2: Ⱥ7.053731
0xccb5: Ⱥ7.000000
0x4df3: Ⱥ6.873496
0xdfb0: Ⱥ6.531250
0x96c9: Ⱥ6.068189
0xac4f: Ⱥ6.000000
0x73b2: Ⱥ6.000000
0xa971: Ⱥ5.825131
0xf503: Ⱥ5.000000
0x2495: Ⱥ4.875000
0x6149: Ⱥ4.750000
0xb4f5: Ⱥ3.488386
0x6157: Ⱥ3.000000
0x91a5: Ⱥ3.000000
0xcd81: Ⱥ2.000000
0x5aef: Ⱥ2.000000
0x1227: Ⱥ2.000000
0x3777: Ⱥ2.000000
0x813d: Ⱥ2.000000
0x1694: Ⱥ1.000000
0x1cbd: Ⱥ1.000000
0xd315: Ⱥ0.589125
0xd3bb: Ⱥ0.262643
0xfc04: Ⱥ0.199223
0xe2ea: Ⱥ0.176001
0x465a: Ⱥ0.168903
0x73ba: Ⱥ0.140455
0x4cab: Ⱥ0.136621
0x1e58: Ⱥ0.129726
0xf5a4: Ⱥ0.122150
0x8763: Ⱥ0.103619
0x5dd8: Ⱥ0.100588
0x25e4: Ⱥ0.097208
0xc375: Ⱥ0.093889
0x2063: Ⱥ0.089617
0xace4: Ⱥ0.081360
0x7faf: Ⱥ0.076880
0xb238: Ⱥ0.074294
0xd406: Ⱥ0.072798
0xa36c: Ⱥ0.069780
0xadf4: Ⱥ0.065205
0xe83b: Ⱥ0.063340
0x9c32: Ⱥ0.055619
0x91e7: Ⱥ0.043320
0x2a2f: Ⱥ0.032484
0x4735: Ⱥ0.027879
0xa96d: Ⱥ0.018319
0xaa7b: Ⱥ0.012318
0x8f0d: Ⱥ0.011780
0xc167: Ⱥ0.009996
0xef5c: Ⱥ0.002764
0xbd56: Ⱥ0.000037
Unique Miners: 128
